post_id,year,price,beds,word
pre2013_7452,2008,900,1,beautiful
pre2013_7399,2008,2475,3,beautiful
pre2013_116215,2001,2095,2,beautiful
pre2013_86418,2003,2000,3,beautiful
pre2013_113319,2004,1950,3,beautiful
pre2013_113540,2004,1950,3,beautiful
4237298678,2013,3700,4,beautiful
pre2013_115362,2004,2300,4,beautiful
pre2013_121055,2004,2300,4,beautiful
pre2013_115512,2004,4500,4,beautiful
pre2013_115579,2004,2200,3,beautiful
pre2013_125685,2004,2500,4,beautiful
pre2013_129380,2004,2000,3,beautiful
pre2013_125910,2004,1450,2,beautiful
pre2013_125921,2004,1299,2,beautiful
pre2013_159866,2007,7600,4,beautiful
pre2013_148690,2006,6100,4,beautiful
pre2013_37339,2011,5150,3,beautiful
4678098387,2014,1750,3,beautiful
pre2013_43017,2011,4850,3,beautiful
pre2013_149150,2006,5300,3,beautiful
4261399378,2013,1600,2,beautiful
pre2013_121689,2004,4000,NA,beautiful
pre2013_148977,2006,5300,3,beautiful
pre2013_792,2006,6000,4,beautiful
5975831773,2017,14500,3,beautiful
pre2013_107559,2004,2700,3,beautiful
pre2013_15661,2012,4600,3,beautiful
5049467028,2015,18000,4,beautiful
pre2013_98164,2004,2000,NA,beautiful
pre2013_127869,2004,2000,NA,beautiful
pre2013_146172,2006,2600,4,beautiful
pre2013_98952,2004,1995,3,beautiful
4258419344,2013,2900,2,beautiful
pre2013_101244,2004,1695,3,beautiful
pre2013_147766,2006,2400,3,beautiful
pre2013_93085,2004,2395,1,beautiful
pre2013_123425,2004,1280,1,beautiful
pre2013_43181,2011,2595,2,beautiful
pre2013_143026,2005,1500,1,beautiful
pre2013_97151,2004,1695,3,beautiful
pre2013_127105,2004,2500,3,beautiful
pre2013_79067,2008,2500,3,beautiful
5514656018,2016,400,0,beautiful
5514623715,2016,4500,2,beautiful
4600345909,2014,1600,2,beautiful
pre2013_130708,2004,1700,2,beautiful
pre2013_101052,2004,2600,3,beautiful
pre2013_111438,2004,2495,3,beautiful
5658571429,2016,3100,2,beautiful
pre2013_102091,2004,1695,2,beautiful
pre2013_147617,2006,2295,4,beautiful
pre2013_34958,2011,2595,2,beautiful
pre2013_103370,2004,1490,2,beautiful
pre2013_52455,2012,3000,2,beautiful
pre2013_153609,2007,1600,1,beautiful
6424478747,2017,4350,3,beautiful
pre2013_6059,2009,2000,1,beautiful
pre2013_142649,2005,1500,1,beautiful
pre2013_143096,2005,1500,1,beautiful
pre2013_50836,2012,2695,3,beautiful
pre2013_82728,2006,2400,3,beautiful
pre2013_12912,2012,2300,2,beautiful
4600655349,2014,800,3,beautiful
4589191606,2014,2800,1,beautiful
5525556545,2016,733,1,beautiful
5941063774,2017,4350,3,beautiful
pre2013_39388,2011,800,1,beautiful
4678085032,2014,2200,2,beautiful
pre2013_159043,2006,2100,2,beautiful
pre2013_56105,2012,2695,4,beautiful
5460136641,2016,3300,3,beautiful
4624081804,2014,2899,2,beautiful
pre2013_64014,2012,2900,3,beautiful
4805791709,2014,3400,3,beautiful
pre2013_43560,2011,3825,5,beautiful
6236801761,2017,2800,2,beautiful
pre2013_85728,2003,1125,2,beautiful
pre2013_54631,2012,1495,1,beautiful
pre2013_140378,2005,1500,2,beautiful
pre2013_38519,2011,1050,1,beautiful
pre2013_13520,2012,1625,1,beautiful
pre2013_2909,2006,4100,3,beautiful
pre2013_139977,2005,1500,2,beautiful
pre2013_35659,2011,1545,1,beautiful
pre2013_109990,2004,2100,2,beautiful
pre2013_104036,2004,895,1,beautiful
pre2013_109040,2004,2450,3,beautiful
pre2013_110450,2004,2495,3,beautiful
pre2013_35728,2011,1300,1,beautiful
pre2013_37359,2011,1625,2,beautiful
pre2013_59824,2012,1491,0,beautiful
5269390845,2015,3800,3,beautiful
pre2013_56857,2012,1495,1,beautiful
pre2013_60615,2012,5800,3,beautiful
pre2013_72580,2012,1825,2,beautiful
pre2013_36930,2011,5990,3,beautiful
pre2013_85725,2003,895,1,beautiful
pre2013_85716,2003,950,1,beautiful
pre2013_61007,2012,5800,3,beautiful
pre2013_109969,2004,1200,2,beautiful
pre2013_58981,2012,5800,3,beautiful
pre2013_43393,2011,1800,2,beautiful
pre2013_85756,2003,3300,4,beautiful
6397331512,2017,2325,NA,beautiful
pre2013_85644,2003,1090,1,beautiful
pre2013_56858,2012,1650,1,beautiful
pre2013_85825,2003,1115,1,beautiful
pre2013_65044,2012,5800,3,beautiful
3878883036,2013,1825,0,beautiful
pre2013_148967,2006,875,0,beautiful
pre2013_110704,2004,1200,2,beautiful
pre2013_124567,2004,895,1,beautiful
pre2013_148751,2006,995,1,beautiful
pre2013_106909,2004,1395,2,beautiful
pre2013_106951,2004,895,1,beautiful
pre2013_110407,2004,1200,2,beautiful
pre2013_105855,2004,2800,4,beautiful
pre2013_64226,2012,5800,3,beautiful
6397334482,2017,2598,1,beautiful
